"SIGLA_UF","n_cattle","n_cattle_sd","pasture_201819_tot","pasture_201819_perc","defo_abs_13_17","defo_perc_wo_refo_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","mod_deg_sum_201819","mod_deg_perc_201819","sev_deg_sum_201819","sev_deg_perc_201819","crop_201819_tot","crop_201819_perc","agricultural_credits","mean_mun_msg4_1317","area","buffer_forest_tot_2013","precipitation_2018_19","mean_temp_18_19","population","nearest_fedSh","IBGE_CODE","outline_id","imagedate","stocking_rate"
"AC",10,0.0362887369301212,28.6724,73.21,2.5703,5.397,1565.14,4.258,0,0,0,0,0,0,4123.69234,0,39.078,61.804424,0.402445620612094,33.3413600023281,15.256,82.3192860933576,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.453397692554512
"AC",7,0.0467707173346743,24.143,99.95,0,0,682.5802,1.837,11.2005,46.38,0,0,0,0,4123.69234,0,24.095,61.256471,0.402445620612094,33.3413600023281,15.256,73.7457203584827,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.376920846622209
"AC",38,0.0990223821183841,48.6848,98.97,0,0,650.1803,1.58,17.3022,35.33,0,0,0,0,4123.69234,0,48.863,76.072504,0.402445620612094,33.3413600023281,15.256,80.1362918082292,"1200013","AC_1200013_5",2019-07-10 19:00:00,1.01469041672144
"AC",20,0.0391388579559132,68.3784,76.74,8.6839,9.746,1239.6932,3.249,15.0127,16.85,0,0,0,0,4123.69234,0,88.902,61.396603,0.402445620612094,33.3413600023281,15.256,81.4682789804065,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.380237033917143
"AC",44,0.101065996645686,32.0522,80.85,1.5619,3.94,806.6604,2.196,5.2542,13.25,0,0,0,0,4123.69234,0,39.554,58.93204,0.402445620612094,33.3413600023281,15.256,80.7285284800793,"1200013","AC_1200013_6",2019-07-11 19:00:00,1.78458888937421
"AC",15,0.0670750476382315,19.2211,47.68,0,-2.91,622.9911,1.629,2.2424,5.56,0,0,0,0,4123.69234,0,40.22,63.956789,0.402445620612094,33.3413600023281,15.256,79.9823918481218,"1200013","AC_1200013_5",2019-07-10 19:00:00,1.01451009567611
"AC",67,0.0523785165852379,62.8265,70.81,0,-1.128,1127.7073,2.919,3.4375,3.87,0,0,0,0,4123.69234,0,88.523,62.098339,0.402445620612094,33.3413600023281,15.256,81.4346192917034,"1200013","AC_1200013_1",2019-07-10 19:00:00,1.38635766754475
"AC",5,0.0460677838770227,40.3864,97.22,7.0319,16.928,935.6504,2.536,18.4938,44.52,0,0,0,0,4123.69234,0,41.448,57.247838,0.402445620612094,33.3413600023281,15.256,80.9790334807702,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.160945268704316
"AC",15,0.0866614332593147,70.8894,98.87,0,0,1569.9826,4.205,38.8832,54.23,0,0,0,0,4123.69234,0,71.537,64.101481,0.402445620612094,33.3413600023281,15.256,82.4100671795223,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.275076386596586
"AC",18,0.109981990921759,14.9371,58.68,2.1563,8.47,2078.9818,5.256,5.5419,21.77,0,0,0,0,4123.69234,0,25.399,198.623926,0.402445620612094,33.3413600023281,15.256,107.526657936572,"1200013","AC_1200013_3",2020-07-20 19:00:00,1.5665691466215
"AC",15,0.0711918358845309,39.7026,94.18,7.0323,16.682,1470.8066,3.936,4.1901,9.94,0,0,0,0,4123.69234,0,42.062,70.452968,0.402445620612094,33.3413600023281,15.256,83.1321238461564,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.491151712986051
"AC",28,0.0600735462684472,30.0339,57.66,0,0,1772.4182,4.631,6.7686,12.99,0,0,0,0,4123.69234,0,51.974,61.957509,0.402445620612094,33.3413600023281,15.256,83.996162408708,"1200013","AC_1200013_6",2019-07-11 19:00:00,1.21196381422326
"AC",14,0.0415686474292708,30.1422,74.06,1.2515,0.077,740.8346,1.942,11.6125,28.53,0,0,0,0,4123.69234,0,40.61,60.85394,0.402445620612094,33.3413600023281,15.256,74.7689363239027,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.603804632707633
"AC",95,0.29259422279883,42.2994,100,0,0,923.5074,2.472,40.0429,94.67,0,0,0,0,4123.69234,0,42.205,70.833953,0.402445620612094,33.3413600023281,15.256,82.416161531472,"1200013","AC_1200013_6",2019-07-11 19:00:00,2.91966316307087
"AC",25,0.0436961443375286,79.0903,98.78,0,0,905.9522,2.201,19.2628,24.07,0,0,0,0,4123.69234,0,79.846,77.740039,0.402445620612094,33.3413600023281,15.256,76.203934448395,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.410922704807037
"AC",29,0.105486194061045,63.0249,82.57,0.0067,-0.911,904.0224,2.221,32.3672,42.41,0,0,0,0,4123.69234,0,76.155,75.745349,0.402445620612094,33.3413600023281,15.256,76.6485597109247,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.598176276360613
"AC",23,0.0512090287441405,53.6866,99.35,0,0,632.1496,1.605,33.139,61.33,0,0,0,0,4123.69234,0,53.915,70.710221,0.402445620612094,33.3413600023281,15.256,78.4705731416245,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.556935995201782
"AC",5,0.0266666666666667,37.2148,84.91,0,0,720.4261,1.858,33.7179,76.93,0,0,0,0,4123.69234,0,43.731,60.514531,0.402445620612094,33.3413600023281,15.256,74.8066729409399,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.174661693734751
"AC",9,0.0487979774169701,26.7077,67.88,0,-3.284,697.902,1.823,17.6754,44.92,0,0,0,0,4123.69234,0,39.259,56.598336,0.402445620612094,33.3413600023281,15.256,76.8849331848581,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.438075910692422
"AC",21,0.186930639376292,15.1797,91.35,0,-2.187,638.0461,1.692,5.4898,33.04,0,0,0,0,4123.69234,0,16.58,62.286322,0.402445620612094,33.3413600023281,15.256,74.5609075427108,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.79845451491136
"AC",7,0.05,23.879,93.01,0.345,0.835,1402.0787,3.838,2.0689,8.06,0,0,0,0,4123.69234,0,25.616,66.72775,0.402445620612094,33.3413600023281,15.256,82.828211202128,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.381087985259014
"AC",10,0.0530690729658951,39.7479,100,0,0,631.0952,1.623,30.1311,75.81,0,0,0,0,4123.69234,0,39.66,62.294249,0.402445620612094,33.3413600023281,15.256,79.4210940002945,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.327061303867626
"AC",6,0.0444444444444444,13.6115,84.83,0,-5.49,625.9822,1.704,6.8268,42.55,0,0,0,0,4123.69234,0,16.01,68.697452,0.402445620612094,33.3413600023281,15.256,79.8470030837301,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.573044851779745
"AC",51,0.181060494488211,37.2899,86.73,0.4487,1.045,715.4278,1.846,26.3468,61.37,0,0,0,0,4123.69234,0,42.836,61.295227,0.402445620612094,33.3413600023281,15.256,74.5776127104032,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.77796132464823
"AC",5,0.0923076923076923,16.1156,81.1,0,-1.353,619.2289,1.665,3.9995,20.35,0.0142,0.07,0,0,4123.69234,0,19.605,69.173723,0.402445620612094,33.3413600023281,15.256,79.8599779359165,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.403335898135968
"AC",10,0.0919933358698383,58.6613,72.38,0.2643,0.163,1349.848,3.561,13.9713,17.24,0,0,0,0,4123.69234,0,80.867,60.201898,0.402445620612094,33.3413600023281,15.256,81.5882812971656,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.221611181477397
"AC",12,0.0442224794968366,37.597,92.5,0,0,541.2182,1.411,0,0,0,0,0,0,4123.69234,0,40.554,61.561137,0.402445620612094,33.3413600023281,15.256,77.7762267411137,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.414926722876825
"AC",9,0.0848553383761551,28.0774,99,0.0597,-0.886,694.0285,1.812,23.0919,81.42,0,0,0,0,4123.69234,0,28.298,56.631835,0.402445620612094,33.3413600023281,15.256,76.8306319693807,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.416705250486156
"AC",5,0.163299316185545,5.2416,85.98,0,-7.769,731.6195,2.044,0.8512,13.96,0,0,0,0,4123.69234,0,6.082,55.324644,0.402445620612094,33.3413600023281,15.256,76.8769651065796,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.24007936507937
"AC",5,0.0429965982852212,39.0634,97.04,8.1771,20.314,924.3863,2.5,17.6322,43.8,0,0,0,0,4123.69234,0,40.164,57.185547,0.402445620612094,33.3413600023281,15.256,80.9701336784895,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.16639616623233
"AC",13,0.0333333333333333,24.3869,59.9,4.522,5.358,1802.8849,4.583,0,0,0,0,0,0,4123.69234,0,40.625,173.113867,0.402445620612094,33.3413600023281,15.256,109.060671453508,"1200013","AC_1200013_3",2020-07-20 19:00:00,0.692995009615818
"AC",7,0.0847791247890658,10.2553,37.77,3.2736,9.399,1870.8225,4.748,0,0,0,0,0,0,4123.69234,0,27.089,181.637858,0.402445620612094,33.3413600023281,15.256,108.869504094237,"1200013","AC_1200013_3",2020-07-20 19:00:00,0.887346055210476
"AC",5,0.148316324759439,9.8953,100,1.9959,18.305,654.6115,1.796,9.8953,100,0,0,0,0,4123.69234,0,9.873,54.724675,0.402445620612094,33.3413600023281,15.256,76.2103113439358,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.656877507503562
"AC",59,0.0411827106300891,77.8153,79.35,15.8436,11.664,1426.5411,3.739,21.3386,21.76,0,0,0,0,4123.69234,0,97.841,59.804665,0.402445620612094,33.3413600023281,15.256,81.6229223597992,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.985667343054644
"AC",44,0.126872873928263,70.2781,84.27,0,-0.018,1613.3054,4.258,38.6258,46.32,0,0,0,0,4123.69234,0,83.21,62.326327,0.402445620612094,33.3413600023281,15.256,82.0854028734944,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.813909311720152
"AC",15,0.115397746573856,24.3793,95.74,11.4709,43.919,2078.0376,5.253,8.797,34.55,0,0,0,0,4123.69234,0,25.408,199.621222,0.402445620612094,33.3413600023281,15.256,107.562283430673,"1200013","AC_1200013_3",2020-07-20 19:00:00,0.799858896686943
"AC",40,0.0732718423907472,55.1712,92.83,0,0,1796.2414,4.683,7.2092,12.13,0,0,0,0,4123.69234,0,59.3,77.174248,0.402445620612094,33.3413600023281,15.256,85.7705469527984,"1200013","AC_1200013_1",2019-07-10 19:00:00,0.94252073545618
"AC",19,0.172474487139159,20.9862,97.56,0,0,675.8842,1.811,2.4976,11.75,0,0,0,0,4123.69234,0,21.201,57.983456,0.402445620612094,33.3413600023281,15.256,75.2498484586727,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.1769639096168
"AC",52,0.0822952035609039,41.0854,95.98,0.0559,-0.649,1083.365,2.899,12.4365,29.05,0,0,0,0,4123.69234,0,42.713,60.587749,0.402445620612094,33.3413600023281,15.256,81.3527515233403,"1200013","AC_1200013_6",2019-07-11 19:00:00,1.64535333719521
